1 12	R AAPIF1
13 12	R AAPIF10
25 12	R AAPIF11
37 12	R AAPIF2
49 12	R AAPIF3
61 12	R AAPIF4
73 12	R AAPIF5
85 12	R AAPIF6
97 12	R AAPIF7
109 12	R AAPIF8
121 12	R AAPIF9
133 12	R AAPIM1
145 12	R AAPIM10
157 12	R AAPIM11
169 12	R AAPIM2
181 12	R AAPIM3
193 12	R AAPIM4
205 12	R AAPIM5
217 12	R AAPIM6
229 12	R AAPIM7
241 12	R AAPIM8
253 12	R AAPIM9
265 12	R AAPIT1
277 12	R AAPIT10
289 12	R AAPIT11
301 12	R AAPIT2
313 12	R AAPIT3
325 12	R AAPIT4
337 12	R AAPIT5
349 12	R AAPIT6
361 12	R AAPIT7
373 12	R AAPIT8
385 12	R AAPIT9
397 34	c ADDR
431 1	C AGNCY_CD
432 12	R AIANF1
444 12	R AIANF10
456 12	R AIANF11
468 12	R AIANF2
480 12	R AIANF3
492 12	R AIANF4
504 12	R AIANF5
516 12	R AIANF6
528 12	R AIANF7
540 12	R AIANF8
552 12	R AIANF9
564 12	R AIANM1
576 12	R AIANM10
588 12	R AIANM11
600 12	R AIANM2
612 12	R AIANM3
624 12	R AIANM4
636 12	R AIANM5
648 12	R AIANM6
660 12	R AIANM7
672 12	R AIANM8
684 12	R AIANM9
696 12	R AIANT1
708 12	R AIANT10
720 12	R AIANT11
732 12	R AIANT2
744 12	R AIANT3
756 12	R AIANT4
768 12	R AIANT5
780 12	R AIANT6
792 12	R AIANT7
804 12	R AIANT8
816 12	R AIANT9
828 12	R APP_T_YR
840 12	R BLKF1
852 12	R BLKF10
864 12	R BLKF11
876 12	R BLKF2
888 12	R BLKF3
900 12	R BLKF4
912 12	R BLKF5
924 12	R BLKF6
936 12	R BLKF7
948 12	R BLKF8
960 12	R BLKF9
972 12	R BLKM1
984 12	R BLKM10
996 12	R BLKM11
1008 12	R BLKM2
1020 12	R BLKM3
1032 12	R BLKM4
1044 12	R BLKM5
1056 12	R BLKM6
1068 12	R BLKM7
1080 12	R BLKM8
1092 12	R BLKM9
1104 12	R BLKT1
1116 12	R BLKT10
1128 12	R BLKT11
1140 12	R BLKT2
1152 12	R BLKT3
1164 12	R BLKT4
1176 12	R BLKT5
